ЛПУ МГ Бобровское;КС Бобровская, цех №1;КЦ;Отсечной;50;80;Кран шаровой;АЗТПА, Россия;1983;1984;И8.3;4699;;25;Не требуется;МА39002-05ХЛ;10Г2;Надземное;Ручной (ручка, рычаг, маховик);АЗТПА, Россия;1984;
ЛПУ МГ Бобровское;КС Бобровская, цех №1;КЦ;Отсечной;150;100;Кран шаровой;Борзиг, Германия;1982;1984;20.7;501/56;;30;Нет;;;Надземное;Пневмогидравлический;Борзиг, Германия;1984;Отбор топливного газа после 20-го крана.
ЛПУ МГ Бобровское;КС Бобровская, цех №1;КЦ;Отсечной;150;100;Кран шаровой;Борзиг, Германия;1982;1984;20.4;501/54;;30;Нет;;;Надземное;Пневмогидравлический;Борзиг, Германия;1984;Отбор топливного газа до 20-го крана.
ЛПУ МГ Бобровское;КС Бобровская, цех №1;КЦ;Отсечной;50;80;Кран шаровой;АЗТПА, Россия;1983;1984;И7.3;4707;;25;Не требуется;МА39002-05ХЛ;10Г2;Надземное;Ручной (ручка, рычаг, маховик);АЗТПА, Россия;1984;
ЛПУ МГ Бобровское;КС Бобровская, цех №1;КЦ;Отсечной;150;100;Кран шаровой;Борзиг, Германия;1982;1984;20.6;501/64;;30;Нет;;;Надземное;Пневмогидравлический;Борзиг, Германия;1984;Отбор топливного газа после 20-го крана.
ЛПУ МГ Бобровское;КС Бобровская, цех №1;КЦ;Отсечной;50;80;Кран шаровой;АЗТПА, Россия;1983;1984;И8.5;4564;;25;Не требуется;МА39002-05ХЛ;10Г2;Надземное;Ручной (ручка, рычаг, маховик);АЗТПА, Россия;1984;
ЛПУ МГ Бобровское;КС Бобровская, цех №1;КЦ;Отсечной;50;80;Кран шаровой;АЗТПА, Россия;1983;1984;И7.1;4572;;25;Не требуется;МА39002-05ХЛ;10Г2;Надземное;Ручной (ручка, рычаг, маховик);АЗТПА, Россия;1984;
ЛПУ МГ Бобровское;КС Бобровская, цех №1;КЦ;Отсечной;50;80;Кран шаровой;АЗТПА, Россия;1983;1984;И8.1;5441;;25;Не требуется;МА39002-05ХЛ;10Г2;Надземное;Ручной (ручка, рычаг, маховик);АЗТПА, Россия;1984;
ЛПУ МГ Бобровское;КС Бобровская, цех №1;КЦ;Отсечной;50;80;Кран шаровой;АЗТПА, Россия;1983;1984;И7.5;4553;;25;Не требуется;МА39002-05ХЛ;10Г2;Надземное;Ручной (ручка, рычаг, маховик);АЗТПА, Россия;1984;
ЛПУ МГ Бобровское;КС Бобровская, цех №1;КЦ;Обводной;150;100;Кран шаровой;Seikmann Econosto, Германия;2011;2012;8.1;35313-020-39;;30;Не требуется;7345;ASTM A350 LF2;Надземное;Ручной с механическим редуктором;Seikmann Econosto, Германия;2012;
ЛПУ МГ Бобровское;КС Бобровская, цех №1;КЦ;Обводной;150;100;Кран шаровой;Seikmann Econosto, Германия;2011;2012;8.2;35313-020-64;;30;Не требуется;7345;ASTM A350 LF2;Надземное;Ручной с механическим редуктором;Seikmann Econosto, Германия;2012;
ЛПУ МГ Бобровское;КС Бобровская, цех №1;КЦ;Обводной;150;100;Кран шаровой;Seikmann Econosto, Германия;2011;2012;7.1;35313-020-15;;30;Не требуется;7345;ASTM A350 LF2;Надземное;Ручной с механическим редуктором;Seikmann Econosto, Германия;2012;
ЛПУ МГ Бобровское;КС Бобровская, цех №1;КЦ;Обводной;150;100;Кран шаровой;Seikmann Econosto, Германия;2011;2012;7.2;35313-020-50;;30;Не требуется;7345;ASTM A350 LF2;Надземное;Ручной с механическим редуктором;Seikmann Econosto, Германия;2012;
ЛПУ МГ Бобровское;КС Бобровская, цех №1;КЦ;выпускной(ая) (свеча);300;75;Кран шаровой;Кобе Стил, Япония;1982;1984;20.3;В-3780;;30;Нет;;;Подземное;Пневмогидравлический;Биффи, Италия;1984;
ЛПУ МГ Бобровское;КС Бобровская, цех №1;КЦ;Обратный;150;100;Клапан обратный;Петролвалвес, Италия;1982;1984;ОК01.1;1034/1;130568;20;Не требуется;;;Надземное;без привода;;;
ЛПУ МГ Бобровское;КС Бобровская, цех №1;КЦ;Обратный;150;100;Клапан обратный;Петролвалвес, Италия;2016;2016;ОК38;160;130568;20;Не требуется;;;Надземное;без привода;;;
ЛПУ МГ Бобровское;КС Бобровская, цех №1;КЦ;Отсечной;50;80;Кран шаровой;Яргазарматура, Россия;2017;2017;И814;2013;;30;Не требуется;;09Г2С;Надземное;Ручной (ручка, рычаг, маховик);Яргазарматура, Россия;2017;
ЛПУ МГ Бобровское;КС Бобровская, цех №1;КЦ;Отсечной;150;100;Кран шаровой;Биттер, Германия;1984;1984;02.1;485/3;130568;20;Не требуется;;;Надземное;Ручной (ручка, рычаг, маховик);Биттер, Германия;1984;
ЛПУ МГ Бобровское;КС Бобровская, цех №1;КЦ;Обратный;1000;100;Клапан обратный;Петролвалвес, Италия;1982;1984;ОК 8.2;24216/02;130568;30;Не требуется;;;Надземное;без привода;;;ТПА на выходном кольце АВО газа КЦ-1 (за ограждением КЦ).
ЛПУ МГ Бобровское;КС Бобровская, цех №1;КЦ;Отсечной;150;100;Кран шаровой;Биттер, Германия;1984;1984;02.2;485/31;130568;20;Не требуется;;;Надземное;Ручной (ручка, рычаг, маховик);Биттер, Германия;1984;
ЛПУ МГ Бобровское;КС Бобровская, цех №1;КЦ;Отсечной;50;80;Кран шаровой;Яргазарматура, Россия;2017;2017;И714;2015;;30;Не требуется;;09Г2С;Надземное;Ручной (ручка, рычаг, маховик);Яргазарматура, Россия;2017;
ЛПУ МГ Бобровское;КС Бобровская, цех №1;КЦ;Отсечной;150;100;Кран шаровой;Биттер, Германия;1984;1984;01.2;485/28;130568;20;Не требуется;;;Надземное;Ручной (ручка, рычаг, маховик);Биттер, Германия;1984;
ЛПУ МГ Бобровское;КС Бобровская, цех №1;КЦ;Отсечной;150;100;Кран шаровой;Биттер, Германия;1984;1984;01.1;485/9;130568;20;Не требуется;;;Надземное;Ручной (ручка, рычаг, маховик);Биттер, Германия;1984;
ЛПУ МГ Бобровское;КС Бобровская, цех №1;КЦ;Обратный;150;100;Клапан обратный;Петролвалвес, Италия;1982;1984;ОК02.1;1034/2;130568;20;Не требуется;;;Надземное;без привода;;;
ЛПУ МГ Бобровское;КС Бобровская, цех №1;КЦ;Обводной;100;80;Кран шаровой;Тяжпромарматура АО, Россия;2008;2018;812-2;1450;130568;30;Не требуется;ЯГТ 50ПЦА.00.00.ПС;09Г2С;Надземное;Ручной (ручка, рычаг, маховик);Тяжпромарматура АО, Россия;2018;
ЛПУ МГ Бобровское;КС Бобровская, цех №1;КЦ;Перемычка;1000;80;Кран шаровой;Волгограднефтемаш, Россия;2016;2018;712;3340;130568;30;Да;МВ 39183-1000-03;09Г2С;Подземное;Пневмогидравлический;Волгограднефтемаш, Россия;2018;
ЛПУ МГ Бобровское;КС Бобровская, цех №1;КЦ;Выпускной;50;80;Кран шаровой;Яргазарматура, Россия;2016;2018;812-5;3480;130568;30;Не требуется;ЯГТ 50ПЦА.00.00.ПС;09Г2С;Надземное;Ручной (ручка, рычаг, маховик);Яргазарматура, Россия;2018;
ЛПУ МГ Бобровское;КС Бобровская, цех №1;КЦ;Отсечной;50;80;Кран шаровой;Яргазарматура, Россия;2017;2018;812-3;2381;130568;30;Не требуется;ЯГТ 50ПЦА.00.00.ПС;09Г2С;Надземное;Ручной (ручка, рычаг, маховик);Яргазарматура, Россия;2018;
